@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,476,9189,8.031512605042018,0.2815126050420168,1.1407563025210083,1.4222689075630253,3.4894957983193278,0.7415966386554622,0.08403361344537816,1.338235294117647,860,3154,1554,868,712,8,G,1978,1985,1,19,0
N,499,17234,16.498997995991985,0.6653306613226453,1.7555110220440882,7.9579158316633265,4.112224448897796,0.48897795591182364,0.30060120240480964,0.0,1459,6453,3013,2811,2207,9,F,1967,1975,1,29,1
N,2,10,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,3,2,0,0,1,F,1986,1986,1,18,0
A,85,1129,5.294117647058823,0.0,0.0,2.4705882352941178,1.423529411764706,0.0,0.011764705882352941,1.0470588235294118,142,443,182,123,85,5,G,1968,1972,1,32,0
N,214,2674,3.9018691588785046,1.1074766355140186,1.9205607476635513,3.02803738317757,0.5327102803738317,0.48130841121495327,0.40186915887850466,0.8084112149532711,543,673,307,312,211,4,F,1992,1995,1,9,0
N,1,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,0,1,F,1963,1963,1,41,0
N,14,147,4.857142857142857,0.21428571428571427,0.5714285714285714,0.7857142857142857,0.5714285714285714,0.35714285714285715,0.0,0.7142857142857143,15,55,16,38,33,5,G,1990,1994,1,10,0
N,249,4147,5.815261044176707,0.7550200803212851,1.6706827309236947,2.42570281124498,1.0120481927710843,0.6465863453815262,0.24899598393574296,1.0200803212851406,451,1274,550,455,300,4,G,1998,2001,1,3,0
N,64,346,1.53125,0.640625,0.875,1.515625,0.3125,0.203125,0.234375,0.40625,71,87,35,46,28,2,C,1992,1993,1,11,0
N,102,1395,3.1666666666666665,1.2549019607843137,2.411764705882353,3.6666666666666665,1.0980392156862746,0.3431372549019608,0.39215686274509803,0.696078431372549,196,329,134,96,55,3,C,1983,1985,1,19,0
